SOLD_MONTH,CITY,ZIP,PRICE,BEDS,BATHS,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,MLS,LATITUDE,LONGITUDE,HOUSE_DES
5/1/2022,Carrollton,75007,399900,3,2,1771,9191,1977,226,20033691,33.011954,-96.889965,"MOVE IN READY! Single story home with 3 bedrooms and 2 baths located on a corner lot. Freshly painted exterior & interior. New carpet. Living room with gas fireplace and built in cabinets. The kitchen features granite countertops and SS appliances (microwave, range, dishwasher & refrigerator). Primary bedroom with ensuite bath. Fenced backyard with covered patio. NEW HVAC. MAKE THIS YOUR HOME TODAY!"
5/1/2022,Carrollton,75007,625000,4,3,3566,8407,2002,175,20017922,33.0206834,-96.8952162,"Gorgeous move-in ready craftsman home with loads of updates. The meticulously maintained interior has fresh paint, hardwood floors and a recently renovated master bath. Dreamy chef's kitchen includes a built-in gas cooktop, double oven, butlers pantry, shaker style cabinetry and a large island which overlooks the cozy living room. Enjoy a bay window sitting area, fabulous walk-in closet, jetted tub with a separate shower and freestanding vanities within the master suite. If that's not enough, the second level includes an oversized game room, secluded media room, reading nook and two spacious bedrooms. The tranquil backyard includes a covered patio, stamped concrete and beautiful landscaping. Don't miss your opportunity to live in the highly sought-after Homestead at Carrollton. *Multiple offers received, please submit best and final by 6:00PM April 16th*"
5/1/2022,Carrollton,75007,485000,3,2,2096,6055,2002,231,20024951,33.0202878,-96.8928692,"Welcome to Homestead at Carrollton highly sought area in Carrollton nestled among lots of trees! This one-story home has so much to offer with a beautiful tree-lined street and all the surrounding amenities! The property offers an abundance of natural light, fresh paint, updated light fixtures, c-fans, pre-wired surround, new microwave & oven, new blinds, garage door opener, landscape, too much to mention! Amenities include a clubhouse, swimming pool, several parks, and a nearby elementary school. Close to grocery stores, hospital, dog park, and many more attractions in the area for your enjoyment. Come take a quick peek to see if this home is right for your family. Seller is requesting offers to be submitted by noon today."
9/1/2022,Carrollton,75007,360000,3,2,1853,6621,1977,194,20145331,32.9985013,-96.8828068,"Charming 3 bed, 2 bath, 2 car garage ready for a new family! Well maintained home just a stone's throw away from Carrollton Greenbelt Park with tons of curb appeal! Hard surface flooring throughout with ceramic tile in the kitchen, dining, living and custom wood flooring in the bedrooms. Entertain guests with large eat in kitchen and wet bar. Relax in the backyard oasis this summer with covered patio, pool and beautiful landscaping. Home will come with ALL appliances (including washer, dryer, dishwasher, microwave, stove and both refrigerators). Enjoy a spacious master suite with his and her closets and double vanity sinks. Schedule your showing today!"
8/1/2022,Carrollton,75007,400000,4,2.5,2801,7275,1996,143,20094198,33.0089723,-96.9107161,"SOLD AS IS. Great opportunity for investor or someone who wants to come in and put their own personal touches on this great family home. Convenient to major highways, shopping & dining areas. Don't miss out on this property! OPEN HOUSE THIS SUNDAY July 3 from 2 TO 4PM."
4/1/2022,Carrollton,75007,300000,4,2,1910,8146,1978,157,14754657,33.0126317,-96.8939799,"Great Home w Easy Access to Major Highways & Airport! Bring your Designer Touch to this Four Bedroom, Two Bath Home and Make it Yours! Greeted with Mature Trees in Front & Back Yard, Open Concept Living Room to Dining Room, Split Bedroom Floorplan. Both Bathrooms have Dual Sinks. Quiet Neighborhood in Carrollton-Farmers Branch ISD with No HOA!"
4/1/2022,Carrollton,75007,375000,3,2,1555,7013,1985,241,20025291,33.019781,-96.9051245,"MULTIPLE OFFERS RECEIVED - DEADLINE MONDAY AT 12 PM . Welcoming foyer opens to great living anchored by attractive fireplace. Additional dining area can be used as flex space for an office, craft room or however you live. Kitchen has gas cooktop and breakfast bar overlooking backyard. Breakfast nook has direct access to the patio and backyard. Owners’ retreat with en-suite bath, walk-in closet and private access to the backyard. HUGE 12x10 shed for all your yard tools, bikes and whatever else you need to store. Permitted garage conversion (458 sf not included in total sf) can be used for extra sleeping space, media room, gaming or exercise space. Bring your imagination. Award winning LISD schools. Convenient to shopping, dining, community parks and activities. 11 miles from DFW Airport. An awesome place to call home!"
10/1/2022,Carrollton,75007,364900,3,2,1930,10237,1977,189,20190635,33.0104201,-96.881701,"Charming 3 bed 2 bath one story brick home in the heart of Carrollton. This corner lot features 2 living areas, a dining room and a lovely eat in kitchen with butlers panty. Over $27,000 in recent updates including all new interior paint, exterior paint, tile in both bathrooms, new hardwood in dining room, new bedroom carpet, foundation work that includes a transferable warranty, and many more updates. The oversized backyard includes a covered patio, plenty of parking and a rear driveway. This is a must see Gem!"
4/1/2022,Carrollton,75007,350000,3,2,1708,6708,1983,205,20013111,33.0015982,-96.906282,"Location, Location! Beautiful home in the Mill-Run Subdivision. Home features 3 bedrooms, 2 bath and 2 Living Areas with an open floorplan concept, kitchen island with granite counter tops and backsplash with white stone fireplace. Tile and wood flooring thru home. Back yard comes with cover porch with own outdoor kitchen grill for all your outdoor activities. Come see it today it will not last long!"
3/1/2022,Carrollton,75007,419000,3,2,1844,6708,2001,227,14755895,33.0149613,-96.8930159,"Come see this lovely home in the well sought after Homestead subdivision, where you can enjoy the community pool, clubhouse, park, and playground. Seller has taken excellent care of the home and you will not be disappointed! Hardwood, ceramic tile, carpet, covered front porch, patio with stone in back, fireplace, and a third bedroom that could be used as a study are a few key features. Roof replaced Jan. 2019, rear Windows Lo E Window panes including 10 yr. warranty installed 2019, new carpet Jan. 2022, and hot water heater approximately 5 years old."
6/1/2022,Carrollton,75007,589000,4,3,3144,10542,1990,187,20053009,33.0023238,-96.9169166,"MULTIPLE OFFERS- BEST AND FINAL BY 2PM SUNDAY 5-15. MUST SEE! Immaculately maintained home greeted by a two story foyer with amazing flooring! Natural light permeates this popular floorplan! Features include: new hardwood, tile, full paint, full kitchen remodel with desirable SS appliances, gas cooktop, granite countertops, recessed lighting, floor to ceiling fireplace, executive size office, 2nd level laminate in hallway and in bonus room -- ideal for media or game room! Relax in the crystal clear pool for BBQs and enjoy the impressive patio cover. Large shed for supplies and workbench, fully landscaped yard, energy efficient windows and plenty more. Spotless & updated bathrooms. Bright and attractive master bathroom with large bedroom. Spacious spare bedrooms, dedicated laundry room with ample space to fold and wash. Park, jogging & bike trails within walking distance. Home is nestled in a well-maintained neighborhood with pride of ownership throughout. Act fast!"
4/1/2022,Carrollton,75007,289000,2,2,1271,4008,1983,227,20016748,33.014935,-96.8680837,"Run don't walk to see this beautiful 1 Story home well maintained by 2nd owner in the terrific neighborhood of Hilltop Square. Conveniently located off Rosemeade Pkwy, near parks, shopping, and dining. Spacious living room with brick fireplace and wood floors throughout the home. The kitchen and dining room boasts beautiful skylights that make the home light and bright. The kitchen opens to the dining room which also has an eat-in counter. The second bedroom has a french door that leads into the spacious side patio with beautiful pavers and a large backyard. MULTIPLE OFFERS RECEIVED. HIGHEST AND BEST DUE BY MONDAY MAR 28 5PM"
4/1/2022,Carrollton,75007,400000,3,2,1913,9801,1984,209,20021654,33.0145847,-96.9030337,"MULTIPLE OFFERS. HIGHEST AND BEST DUE BY MONDAY, APRIL, 11 AT 10 AM. This home has been beautifully remodeled and updated in PRIME location! Gorgeous curb appeal with mature trees and manicured landscaping. hardwood floors greet you at entry and extend throughout the home. The kitchen offers modern shaker cabinets, updated light fixtures, stunning backsplash and stainless steel appliances perfect for entertaining! Two spacious living areas filled with natural light, with main living space featuring gas fireplace. Home offers a split floor plan. MSTR includes en suite BTH with separate walk-in closets, dual sinks, jetted tub, and an oversized shower. Large backyard with covered patio and plenty of grass. WELL MAINTAINED & UPDATED home includes NEW Exterior and Interior (2021-2022) and backyard fence replaced in 2020. See attached documents for full list of updates"
1/1/2023,Carrollton,75007,320000,3,2,1305,,1983,245,20228900,33.012655,-96.8722192,"Beautifully updated home featuring 3 bedrooms and 2 bathrooms. Cozy family room with bricked fireplace. Welcoming kitchen flows open to the living area. Granite counter tops and SS appliances. Wonderful primary bedroom with a oversized shower. Fully fenced private back yard with a nice shed. This is a must see. Multiple offers highest and best by noon January 9th, 2023."
6/1/2022,Carrollton,75007,419000,3,2,1987,8407,1983,211,20077583,33.0125314,-96.8632244,"Lovely single-story home in the Highlands of Carrollton with a private backyard, covered patio, and pool that is perfect for entertaining. Stunning entry with formal dining room and spacious living room with gas fireplace and high ceilings. The kitchen features granite counters, a new electric cooktop, built-in appliances, and an eat-in dining area—a bonus media room with a projector, screen, and speakers to bring your entertainment to life. Many upgrades have been made, such as new gutters, new furnace and HVAC, added insulation, fresh landscaping...the list goes on. This home is a must-see and won't last long. See it today. ****washer, dryer, and refrigerator will convey with the property."
